Symptoms(common),Symptoms(babies/infants),Symptoms(old people),Symptoms(male),Symptoms(female),Medication(babies/infants),Medication(old people),Treatment(general),Treatment(babies/infants),Treatment(old people),Treatment(critical_stage),Expenses,Facts_or_Myths,Survival_Rate,Funding,Prevention,Diagnosis,FAQ,FAQ Answers,condition,Symptoms(Critical_stage),Medication(general)
Stomach pain,,,,,,,"Oral Rehydration Solution  (ORS) : ORS should be used to prevent dehydration. Standard home solutions such as salted rice water, salted yoghurt drinks, vegetable and chicken soups with salt can be given. ",,,,"CMC, Vellore, reported a figure of Rs. 6634 as cost of hospitalization for one episode of diarrhea in nonprofit referral hospital and Rs. 6071 in a private hospital. The figure for government hospitals was much less, i.e., Rs. 233",Myth 2: As soon as the diarrhoea finishes I'm no longer infectious,"For Children <=5years 61.9-79.8 deaths per 100,000",,Use alcohol based sanitizers,"Sigmoidoscopy. This test lets your healthcare provider check the inside of part of your large intestine. It helps to tell what is causing diarrhea. A short, flexible, lighted tube (sigmoidoscope) is put into your intestine through the rectum. This tube blows air into your intestine to make it swell. This makes it easier to see inside. A biopsy can be taken if needed.",Why is diarrhoea dangerous?,"When a person gets diarrhoea, the body begins to lose a lot of water and salts - both of which are necessary for life. If the water and salts are not replaced fast, the body starts to ""dry up"" or get dehydrated. Severe dehydration can cause death.

",diarrhea,,
Swelling (bloating),,,,,,,"Medications: Antibiotics are beneficial in certain types of acute diarrhoea, they are usually not used except in specific situations. Over the counter drug    Pepto-Bismol ( Bismuth subsalicylate ) , or anti-motility drug Imodium plus (    Loperamide hydrochloride with simethicone ) are few of medicines for diarrhoea.",,,,,Myth 3: If I have bloody diarrhoea I must have cancer,,,Eat foods that have been cleaned and cooked in a safe way,"Colonoscopy. This test looks at the full length of your large intestine. It can help check for any abnormal growths, tissue that is red or swollen, sores (ulcers), or bleeding. A long, flexible, lighted tube (colonoscope) is put into your rectum up into the colon. This tube lets your healthcare provider see the lining of your colon and take out a tissue sample (biopsy) to test it. He or she can also treat some problems that may be found.",What is dehydration?,"Dehydration is the loss of water and body salts through diarrhoea. The human body needs water to maintain enough blood and other fluids to function properly. If your body loses substantially more fluids than you are drinking, you become dehydrated. You may lose fluids in a variety of ways:

when urinating
when you vomit or have diarrhoea
when sweating
from the lungs during normal breathing.
Along with the fluids, your body also loses electrolytes, which are salts normally found in blood, other fluids, and cells.

",diarrhea,,
Upset stomach (nausea),,,,,,,"Eating : WHO recommends a child with diarrhoea should continue to be fed. Continued feeding speeds the recovery of normal intestinal function. In contrast, children whose food  is restricted, have diarrhoea of longer duration and recovery of intestinal function is slow.",,,,,Myth 4: My viral diarrhoea will stop sooner if I dont eat,,,Not take any foods or liquids that may have been infected with a bacteria or virus,Imaging tests. These tests can see if there are any problems with the way your organs are formed (structural abnormalities).,How does dehydration occur?,"The usual causes of dehydration are a lot of diarrhoea and vomiting. Dehydration can also occur if you do not eat or drink much during an illness or if you do not drink enough during or after strenuous exercise. Medications that cause fluid loss to control excess body fluid (diuretics) are a common long-term cause. Although anyone can become dehydrated, those who become dehydrated the most easily are:

babies under 1 year old
the elderly
anyone who has a fever
",diarrhea,,
Urgent need to go to the bathroom,,,,,,,,,,,,Myth 5: Flat lemonade will sort out my diarrhoea,,,Not drinking tap water or using it to brush your teeth,Fasting tests. These tests show if you are unable to digest certain foods (food intolerance). They can also tell if certain foods bring on an immune system reaction (food allergy).,What are the symptoms of dehydration?,"Symptoms of early or mild dehydration include:

flushed face
extreme thirst, more than normal or unable to drink
dry, warm skin
cannot pass urine or reduced amounts, dark, yellow
dizziness made worse when you are standing
weakness
cramping in the arms and legs
crying with few or no tears
sleepy or irritable
unwell
headaches
dry mouth, dry tongue; with thick saliva.
Symptoms of moderate to severe dehydration include:

low blood pressure
fainting
severe muscle contractions in the arms, legs, stomach, and back
convulsions
a bloated stomach
heart failure
sunken fontanelle - soft spot on a infants head
sunken dry eyes, with few or no tears
skin loses its firmness and looks wrinkled
lack of elasticity of the skin (when a bit of skin lifted up stays folded and takes a long time to go back to its normal position)
rapid and deep breathing - faster than normal
fast, weak pulse
",diarrhea,,
Fever,,,,,,,,,,,,Fact 1: A significant proportion of diarrhoeal disease can be prevented through safe drinking-water and adequate sanitation and hygiene.,,,Not using ice made from tap water,"Blood tests. These can look for metabolic problems like thyroid disease, anemia (low blood count), evidence of low vitamin levels suggesting poor absorption, and celiac disease, among other things.",How is dehydration treated?,"If you are mildly dehydrated, you need to drink enough liquid to replace the fluids you have lost. Also, you need to replace the electrolytes (salts) you have lost. Drinking sips of water slowly, along with eating the typical American diet, which is high in salt, will replace fluids and salts you have lost. Nonprescription medicines are available that help replenish fluids and electrolytes. You can also replace both fluids and electrolytes by drinking sports drinks or an oral rehydration solution (ORS).


Drink the solution (or give it to the dehydrated person if he or she is conscious) immediately. Do not wait until dehydration becomes severe.",diarrhea,,
Bloody stools,,,,,,,,,,,,"Fact 2: Globally, there are nearly 1.7 billion cases of childhood diarrhoeal disease every year.",,,Not drinking milk or milk items that have not gone through a process to kill certain bacteria (pasteurization),,What if symptoms of dehydration begin to appear?,"The child should be taken quickly to the nearest health post, or station where prepacked ORS is available. The trained health worker will then show the parents how to mix ORS and supervise giving it. The health worker should also be able to assess a child who is severely dehydrated who needs hospital treatment (including IV if necessary). During the time before the complete ORS can be started the home-prepared solution should continue to be given. In the unfortunate event that complete formula ORS is unavailable the home-prepared solution will have to be used instead BUT it is not as effective for the TREATMENT of dehydration. Only in a minority of countries, such as some of the more affluent ones and some other mostly fairly small countries with easy communications, is prepacked ORS recommended as the exclusive treatment both for preventive, first-line treatment in the hoe and for treatment of dehydration. In most countries, home-prepared solutions are the recommendation for prevention and complete formula ORS for treatment, as described here.

",diarrhea,,
Loss of body fluids (dehydration),,,,,,,,,,,,Fact 3: Diarrhoea is a leading cause of malnutrition in children under five years old.,,,Not eating any fresh or raw fruits and vegetables unless you wash and peel them yourself,,How long will the effects of dehydration last?,"If dehydration is not treated, it can cause death. If it is treated in time,
recovery is usually complete.",diarrhea,,
Leaking stool and not being able to control your bowels (incontinence),,,,,,,,,,,,Fact 4: Dehydaration is a serious risk,,,Making sure all meat and fish have been cooked to at least medium doneness,,What is ORT?,"ORT is the giving of fluid by mouth to prevent and/or correct the dehydration that is a result of diarrhoea. As soon as diarrhoea begins, treatment using home remedies to prevent dehydration must be started. If adults or children have not been given extra drinks, or if in spite of this dehydration does occur, they must be treated with a special drink made with oral rehydration salts (ORS) . The formula for ORS recommended by WHO and UNICEF contains:

3.5 gms sodium chloride
2.9 gms trisodium citrate dihydrate (or 2.5 gms sodium bicarbonate)
1.5 gms potassium chloride
20 gms glucose (anhydrous)
The above ingredients are dissolved in one litre of clean water. WHO has recently recommended a change in the complete formula, replacing 2.5 gms of sodium bicarbonate with 2.9 gms of trisodium citrate dihydrate. The new formula gives the packets a longer shelf life and is at least as effective in correcting acidosis and reducing stool volume. Packets containing sodium bicarbonate are still safe and effective.",diarrhea,,
,,,,,,,,,,,,Fact 5: Drugs can cause diarrhea,,,Not eating raw or rare-cooked meat or fish,,How does ORT work?,"Acute diarrhea normally only lasts a few days. ORT does not stop the diarrhoea, but it replaces the lost fluids and essential salts thus preventing or treating dehydration and reducing the danger. The glucose contained in ORS solution enables the intestine to absorb the fluid and the salts more efficiently. ORT alone is an effective treatment for 90-95% of patients suffering from acute watery diarrhoea, regardless of cause, This makes intravenous drip therapy unnecessary in all but the most severe cases.",diarrhea,,
,,,,,,,,,,,,Fact 6: Sugary food makes diarrhea worse,,,"Making sure meat and shellfish such as shrimp, crab, and scallops, are hot when served",,How do I use an ORS package?,"Packets of oral rehydration salts are widely available. To use one of these packets, mix the contents with 1 quart or liter of drinking water. If drinking water is not available, or if you are not sure the water is drinkable, boil the water for at least 10 minutes.",diarrhea,,
,,,,,,,,,,,,Fact 7: Fibre food may help,,,Not eating food from street vendors or food trucks,,How do I prepare an ORS solution at home?,"If ORS packets are not available, mix an oral rehydration solution using one of the following recipes; depending on ingredients and container availability:

Recipe for Making a 1 litre ORS solution using Sugar, Salt and Water

Clean Water - 1 litre - 5 cupfuls (each cup about 200 ml.)
Sugar - Six level teaspoons
Salt - Half level teaspoon
Stir the mixture till the sugar dissolves.                                                                             The home-made solution is adequate in most causes. If the diarrhoea is severe, ask your chemist for a special packet of Oral Rehydration Salts. Follow the instructions on the packet carefully. Drink sips of the ORS (or give the ORS solution to the conscious dehydrated person) every 5 minutes until urination becomes normal. (It's normal to urinate four or five times a day.) Adults and large children should drink at least 3 quarts or liters of ORS a day until they are well. If you are vomiting, continue to try to drink the ORS. Your body will retain some of the fluids and salts you need even though you are vomiting. Remember to take sips of liquids slowly. Chilling the ORS may help. If you have diarrhea, continue to drink the ORS. The fluids will not increase the diarrhea. Someone with symptoms of severe dehydration needs to go to an emergency room or other health care facility to get intravenous fluids (fluids given directly into the veins through a needle) if possible. If able to drink, he or she should also drink the ORS. During or after treatment of dehydration, whatever is causing the diarrhea, vomiting, or other symptoms should also be treated.",diarrhea,,
,,,,,,,,,,,,Fact 8: Coffee can make it worse,,,,,Can the ORS solution be made with dirty water?,"The benefits of fluid replacement in diarrhoea far outweigh the risks of using contaminated water to make oral rehydration solution. In situations where it is difficult to boil water, mothers are advised to use the cleanest water possible.",diarrhea,,
,,,,,,,,,,,,Fact 10: Yougurt may help reduce diarrhea,,,,,Can the ORS solution be stored?,"Generally a made-up solution should be covered and not kept for more than 24 hours, due to the risk of bacteriological contamination. Packets of ORS should be stored carefully and not kept in temperatures of over 30 degree C or in conditions of high humidity. Where the ingredients to make up ORS are being stored in bulk the glucose/sucrose should be kept apart from the rest of the dry ingredients. The new citrate formula ORS has a longer shelf life.",diarrhea,,
,,,,,,,,,,,,,,,,,Can ORS be used for everyone?,"ORS is safe and can be used to treat anyone suffering from diarrhoea, without having to make a detailed diagnosis before the solution is given. Adult need rehydration treatment as much as children, although children must always be treated immediately because they become dehydrated more quickly.",diarrhea,,
,,,,,,,,,,,,,,,,,What should be done if the child vomits?,"Vomiting does not usually prevent the therapy from being successful. Mothers must be taught to persist in giving ORS solution, even though this requires time and patience. They should give regular, small sips of fluid. Giving ORT reduces nausea and vomiting and restores the appetite through correction of acidosis and potassium losses.",diarrhea,,
,,,,,,,,,,,,,,,,,Should feeding continue at the same time as ORT?,"Feeding, especially breastfeeding, should be continued once dehydration has been corrected. Even if the diarrhoea continues or the child is vomiting, some of the nutrients are being absorbed. Suitable food should not be withheld, as the child may become malnourished. Once the diarrhoea episode has passed, the child should be given more food than usual to make up for losses during diarrhoea. Breastfeeding is particularly beneficial because breastmilk is easily digestible. It also contains protective substances which help to overcome the infection causing the diarrhoea.",diarrhea,,
,,,,,,,,,,,,,,,,,What sort of foods are good during diarrhoea?,"High energy foods such as fats, yogurt and cereals are quite well absorbed during diarrhoea. Small, frequent feeds of energy-rich local foods familiar to the child should be given. A little vegetable oil can be added to foods such as millet or rice to increase the energy content.

Foods high in potassium are important to restore the body's essential stores depleted during diarrhoea. Such foods include lentils, bananas, mangoes, pineapples, pawpaw, coconut milk and citrus fruits.
Certain foods should be avoided during diarrhoea, for example those containing a lot of fibre such as coarse fruits and vegetables, whole grain cereals and spicy foods.
It is very important to continue feeding a person with diarrhoea. Give soft, easy-to-digest foods, like khichri, watery dal, idlis, curd, bananas etc. You should also give plenty of other fluids, like nimbu pani, rice kanji, lassi, coconut water, weak tea etc. If the baby is being breast-fed, continue to give her mother's milk. Give an extra meal a day, after the diarrhoea stops, to help the body get strong again.",diarrhea,,
,,,,,,,,,,,,,,,,,Is it necessary to use drugs as well as ORT?,"In most cases, no. The diarrhoea will get all right by itself in a day or two. If there is any blood or mucous in the stools, any fever or vomiting, you must see the doctor immediately. Don't take any medicines yourself, It is important to follow the doctor's advice. You should also see the doctor if the child's condition gets worse or if there are any signs of dehydration. Drugs should not be used except in the most severe cases. Even then they should be administered with care, preferably after the organism causing the diarrhoea has been identified. Small children with dysentery and fever require an antibiotic. Refer such patients to a health service for advice. ORT on its own is usually enough to rehydrate the child. Unnecessary antibiotic therapy upsets the normal bacteriological balance of the intestine. Many anti-diarrhoeal preparations have proved to be either ineffective or too powerful for very small infants.",diarrhea,,
,,,,,,,,,,,,,,,,,What can be done to prevent dehydration?,"The important thing is to keep replacing the fluid and body salts. At the first sign of diarrhoea, you must give ORS to the patient. You must give this drink after every loose motion. If you have diarrhoea or vomiting, or if you are not drinking very much, force yourself to begin drinking liquids before you become dehydrated. If you are with someone you think is becoming dehydrated, follow these
guidelines when possible:

Give more liquids than usual.
Remember that a dehydrated person will have less of an appetite.
Encourage him or her to eat and drink small amounts of food and
liquids five to seven times a day.
Watch for signs of more severe dehydration and get medical help as soon as possible.",diarrhea,,
,,,,,,,,,,,,,,,,,How can I protect myself from getting dehydrated?,"Know the symptoms of dehydration.
Try to drink extra fluids if you know your body is losing them rapidly.
Know the recipe for ORS.
If you are traveling in a country that does not have water that is safe for drinking, carry with you a quart (or liter) of boiled water and packets of ORS or the ingredients to make it.",diarrhea,,
,,,,,,,,,,,,,,,,,"Apart from ORT, are there any other important aspects to the management of diarrhoea?","First of all, prevention including the following measures:

breastfeeding
environmental sanitation
personal hygiene
clean drinking water
clean preparation and storage of food
insect and fly control
Secondly, maintaining or increasing food and fluid intake during and after an attack of diarrhoea. Starving children with diarrhoea to ""dry it up"" probably causes millions of deaths a year.

If these two strategies - preventive and nutritional could be taught, most of the present catastrophic problem of diarrhoeal diseases could be overcome.",diarrhea,,
,,,,,,,,,,,,,,,,,"When is it appropriate to recommend the use of ""home-prepared oral rehydration therapy"" and when is prepacked ORS better?
","Home-prepared solutions are recommended for use by parents to give to their child immediately an attack of diarrhoea starts - BEFORE any signs of dehydration occur. Basically, the idea is to PREVENT dehydration and also by maintaining fluid and food intake to preserve a good nutritional status.",diarrhea,,
,,,,,,,,,,,,,,,,,"Why is prepacked ORS referred to as ""complete formula"" and why is a home-prepared solution not as effective for treatment? Are they not both basically sugar, salt and water anyway?","No. They are not the same thing at all. The ""complete formula"" ORS contains potassium and a base - either bicarbonate or citrate - which corrects acidosis which small infants in particular suffer when they are dehydrated. Potassium is important in the treatment of dehydration - most especially for the child who suffers repeated bouts of diarrhoea. Potassium is a vital essential element that occurs in the body cells (but very little exists in the body fluids, almost all of the body's potassium is locked inside the cells). It is not involved in the so-called ""glucose-sodium co-transport mechanism"" which is the basis of the way in which ORS achieves rehydration. Therefore potassium is only absorbed passively and more slowly. If a child is rehydrated with a solution containing no potassium each successive attack of diarrhoea leaves the child more and more depleted of potassium - this results in fatigue, apathy and muscular weakness, the typical bloated belly of a malnourished child is largely caused by potassium depletion causing the muscles of the abdomen to slack. Finally such a child will die.",diarrhea,,
,,,,,,,,,,,,,,,,,Can potassium be made good by feeding potassium rich foods like bananas?,"Fortunately to some extent yes. However, mothers need to be taught and motivated how to modify a child's normal diet to include these foods for several weeks after an attack of diarrhoea - or more or less permanently in fact in order to have much of an effect.",diarrhea,,
,,,,,,,,,,,,,,,,,"Does a home-prepared ORS have to be made of sugar, salt and water?","Sugar is in many places very expensive, or even unobtainable. The ""red booklet"" ""THE MANAGEMENT OF DIARRHOEA AND USE OF ORAL REHYDRATION THERAPY - A Joint WHO/UNICEF Statement"" makes clear on page 11 that there are two basic types of Home- prepared solutions: (a) Those containing starch rather sugar - throughout the world all people have a basic starchy foodstuff that is a staple part of their diet - it may be rice, root tubers, e.g. yams, potatoes, etc, or grains e.g. wheat, etc. Those starchy foods are nearly always boiled in water to cool them and in the process the cooling water, especially near the end of cooking, becomes a rich starchy solution, already boiled and cooled. With the addition of a little salt (so that it tastes no more salty than tears) such liquids are an excellent home-prepared solution to give to children for the prevention of dehydration. Unfortunately, they may be less effective for children less then 3 months old. Only in areas of famine would such solutions not be readily available in the home at no significant extra cost. With starches you cannot really give an excess - whereas with sugar as excess in solution (over 3%) will cause a worsening of diarrhoea due to osmotic effects. More operational research needs to be done in specific regions and countries to identify and popularize the use of these starch based home- prepared solutions and uncover and unforeseen problems e.g. fermenting of the solution after a few hours storage - or that the liquid is normally fed to animals and may be culturally unacceptable to give to children. In such cases some simple modification to the procedure may be devised to overcome these problems. (b) Sugar and salt solutions have been widely promulgated for years simply because they are analogous to ORS. They have certain disadvantages, for instance: It involves measuring quite accurately two different weights (or measures) of solids - hence a very real possibility of muddling the two up, with disastrous consequences = and measuring the volume of water accurately. It is thus more difficult to mix properly than ORS, where you only need to measure the water. It requires more tuition time and a more competent parent to do it correctly. It is more expensive - often much more expensive and so may be used too sparingly and therefore be of no use. In spite of this, there are examples where it has been widely used with great success, e.g. lobon-gur in Bangladesh. The applicability of either method depends very much on local or national circumstances and policies and should be decided accordingly - there is never a universal ""right"" method.",diarrhea,,
Upper RTI :Cough," Upper RTI :Bronchiolitis, an infection that causes wheezing and coughing",Upper RTI :Nasal congestion,,,,,Upper RTI : You can most likely treat the symptoms at home through pain relievers,,,,,,,,Upper RTI : Avoid being in close contact with people who are sick.,Upper RTI : Lung (chest) X-ray,Upper RTI : What is an upper respiratory infection?,"Upper RTI : These infections affect your sinuses and throat. Upper respiratory infections include:
Common cold.Epiglottitis.Laryngitis.Pharyngitis (sore throat).Sinusitis (sinus infection).",respiratory infection,Upper RTI : Loss of consciousness,
Upper RTI :Fever," Upper RTI :Common cold, which usually involves a runny nose, cough and feeling run-down",Upper RTI :Sneezing,,,,,Upper RTI : rest and drinking fluids,,,,,,,,"Upper RTI : Wipe down objects such as remote controls, phones, and doorknobs that may be touched by people in the house who have a URI.",Upper RTI : Lung CT scan,Upper RTI : What causes upper respiratory infections?,"Upper RTI : You get an upper respiratory infection when a virus (or bacteria) enters your respiratory system. For example, you might touch an infected surface or shake hands with a person whos sick. You then touch your mouth, nose or eyes. The germs from your hands enter and infect your body.",respiratory infection,Upper RTI : High fever (higher than 103 F),
Upper RTI : Hoarse voice," Upper RTI :Croup, which causes a hoarse cough that sounds like a seal",Upper RTI : A runny nose,,,,,"Upper RTI : If you have a bacterial infection, such as strep throat, youll take antibiotics. Penicillin or amoxicillin are frequently prescribed for strep throat",,,,,,,,Upper RTI : Cover your mouth and nose if youre the one whos sick.,Upper RTI : Lung (pulmonary) function test to see how your lungs are working,Upper RTI : Whos at risk for upper respiratory infections?,"These infections are common, and anyone can catch one. Yet certain groups of people are more at risk of catching infections. Children are at a high risk since they are often with other children who may be carrying a virus. Children may also wash their hands less frequently than adults. Plus, theyre more likely to put their fingers in their eyes, nose and mouth, allowing the germs to spread easily.
People who have heart or lung problems are also at higher risk of getting an upper respiratory infection. Those who have weak immune systems (due to another disease) may get more severe infections.",respiratory infection,Upper RTI : Rapid breathing or difficulty breathing,
Upper RTI: Fatigue and lack of energy," Upper RTI : Ear infections, when bacteria infect the middle ear, causing pain",Upper RTI :Coughing,,,,,Lower RTI : Intravenous fluids,,,,,,,,Upper RTI : Stay home if youre sick.,Upper RTI : Nasal swab,Upper RTI : How are upper respiratory infections diagnosed?,"Upper RTI : Your healthcare provider may diagnose the infection based on a physical exam and your symptoms. Theyll look in your nose, ears and throat and listen to your chest to examine your breathing. You often dont need other tests.
If your provider is concerned you may have a lung infection or another infection, you may need : Lung (chest) X-ray,Lung CT scan,Lung (pulmonary) function test to see how your lungs are working.Nasal swab,Throat swab.Sputum test, when you cough up some sputum (phlegm from your lungs) for examination.",respiratory infection,"Upper RTI : Frequent, severe coughing, which may come with vomiting",
Upper RTI: Red eyes," Upper RTI : Pink eye, an eye infection, usually bacterial, that can cause a thick yellow discharge from the eye.",Upper RTI :Wheezing,,,,,Lower RTI : Humidified oxygen,,,,,,,,Lower RTI : washing their hands frequently,Upper RTI : Throat swab.,Upper RTI : Are upper respiratory infections contagious?,"Upper RTI : Yes, upper respiratory infections are contagious. They pass from person to person through respiratory droplets or hand-to-hand contact. People who have an upper respiratory infection can pass it to others through:Sneezing or coughing without covering their nose and mouth. This sprays germs into the air. Other people can breathe in those germ-filled droplets.
Sneezing or coughing into their hand and then touching someone elses hand. The droplets are now on the other persons hand. When that person touches their nose, mouth or eyes, the infection enters their body.",respiratory infection,"Upper RTI : Wheezing, a high-pitched whistling sound when you breathe out",
Upper RTI: Runny nose," Upper RTI : Sinus infection, when viruses or bacteria infect and inflame the sinuses, causing pain.",Upper RTI :Mucus production,,,,,"Lower RTI : Ventilation support, i.e., high flow oxygen, CPAP, BiPAP or mechanical ventilation, if severe respiratory insufficiency develops",,,,,,,,Lower RTI : avoiding touching the face with unwashed hands,"Upper RTI : Sputum test, when you cough up some sputum (phlegm from your lungs) for examination",Upper RTI : What are the symptoms of upper respiratory infections?,"Upper RTI : You may get symptoms, including:Cough,Fever,Hoarse voice,Fatigue and lack of energy,Red eyes,Runny nose,Sore throat,Swollen lymph nodes (swelling on the sides of your neck).",respiratory infection,Upper RTI : Dizziness,
Upper RTI: Sore throat," Upper RTI : Sore throat, which can be viral or bacterial (strep throat).",Upper RTI :Throat soreness,,,,,,,,,,,,,Lower RTI : staying away from people with respiratory symptoms,Lower RTI : Pulse Oximetry: this test uses a small sensor that attaches to the finger or ear. It uses light to estimate how much oxygen is present in the blood.,Upper RTI : How long do upper respiratory infections last?,"Upper RTI : Upper respiratory infections typically last one to two weeks. Most of the time, they go away on their own. Over-the-counter pain medications can help you feel better. Make sure you drink plenty of fluids to stay hydrated.If your symptoms last longer than two weeks, talk to your healthcare provider. You may have another condition that is causing the symptoms, such as pneumonia or bronchitis.",respiratory infection,"Upper RTI : Retractions, when you see a deeper outline of your ribcage or ribs than you normally do",
Upper RTI : Swollen lymph nodes (swelling on the sides of your neck),,Upper RTI :Pain when swallowing,,,,,,,,,,,,,Lower RTI : cleaning and disinfecting surfaces regularly,Lower RTI : Chest X-ray: creates an image of the lungs. Doctors can visually inspect this image for signs of pneumonia.,Upper RTI : Can antibiotics treat upper respiratory infections?,"Upper RTI : Most of the time, viruses cause upper respiratory infections. Viruses dont respond to antibiotics. You can most likely treat the symptoms at home through pain relievers, rest and drinking fluids. If you have a bacterial infection, such as strep throat, youll take antibiotics. Penicillin or amoxicillin are frequently prescribed for strep throat.",respiratory infection,"Upper RTI : Stridor, a harsh raspy vibrating when you breathe in that sometimes sounds like a seal. (Stridor is more common in children than adults)",
Lower RTI : Congestion or runny nose,,Upper RTI :Headache,,,,,,,,,,,,,"Lower RTI : getting vaccines, such as the pneumococcal vaccine and MMR vaccine","Lower RTI : Blood Test: a sample of blood is taken and inspected in a laboratory for the presence of viruses, bacteria, or other organisms.",Upper RTI : When should I see a healthcare provider for an upper respiratory infection?,"Upper RTI : If you have any of these symptoms, contact your healthcare provider or seek medical help:
Loss of consciousness,High fever (higher than 103 F),Rapid breathing or difficulty breathing,Frequent, severe coughing, which may come with vomiting,Wheezing, a high-pitched whistling sound when you breathe out,Dizziness,Retractions, when you see a deeper outline of your ribcage or ribs than you normally do. (This sign may be more obvious in children).
Stridor, a harsh raspy vibrating when you breathe in that sometimes sounds like a seal. (Stridor is more common in children than adults).",respiratory infection,Lower RTI : Fever,
Lower RTI : Dry cough,,,,,,,,,,,,,,,Lower RTI : getting a flu shot every year,Lower RTI : Laboratory Tests: a sample of sputum or mucus is taken and inspected in a laboratory for the presence of bacterial organisms.,Upper RTI : Is the flu an upper respiratory infection?,"Upper RTI : Influenza, or the flu, isnt considered an upper respiratory infection. Thats because its systemic  it affects more than one system in the body. It usually affects the upper and lower respiratory system. The cold and flu have similar symptoms.
",respiratory infection,Lower RTI : Severe cough,
Lower RTI : Sore throat,,,,,,,,,,,,,,,"Lower RTI : avoiding known irritants, such as chemicals, fumes, and tobacco",,Upper RTI : Is pneumonia an upper respiratory infection?,"Upper RTI : Pneumonia is a lung infection. Symptoms can resemble those of an upper respiratory infection. You may have a severe cough that brings up phlegm (mucus), shortness of breath and chest pain. See your healthcare provider if you think you may have pneumonia.
",respiratory infection,Lower RTI : Rapid breathing or difficulty breathing,
Lower RTI : Low-grade fever,,,,,,,,,,,,,,,,,Upper RTI : How can I prevent upper respiratory infections?,"Upper RTI : Keep you and your family healthy. Take steps to prevent upper respiratory infections:
Practice good hygiene:
Wash hands, especially before eating or preparing food,Sneeze and cough into your arm or a tissue and wash hands after Live a healthy lifestyle:
Avoid contact with people who are sick,Drink plenty of fluids,Get enough sleep,Stop smoking, See your provider:
Keep up with routine checkups and immunizations.
Ask your provider if you should get the pneumococcal vaccine, which prevents pneumonia.
Call your healthcare provider if you have symptoms lasting longer than two weeks, a high fever or any other concern.",respiratory infection,Lower RTI : Wheezing,
Lower RTI : Mild headache,,,,,,,,,,,,,,,,,Upper RTI : Should I worry about an upper respiratory infection?,"Upper RTI : Most of the time, these infections go away on their own. Youll likely make a full recovery. However, some higher-risk groups should take extra precautions when it comes to upper respiratory infections. These infections can be more dangerous for:Children, especially babies,Older adults,People with immune system disordersIf you are in a high-risk group and get a cold or other respiratory infection, contact your healthcare provider.",respiratory infection,Lower RTI : Skin turning a blue color due to lack of oxygen,
,,,,,,,,,,,,,,,,,Upper RTI : What complications can happen from upper respiratory infections?,"Upper RTI : Severe complications can include respiratory failure when theres too much carbon dioxide in your blood. The infection could also spread to other parts of your body, such as your brain or heart. If you have any concerns about your symptoms, call your healthcare provider. If you are having trouble breathing or other worrisome symptoms, call 911 or head to the nearest ER.",respiratory infection,Lower RTI : Chest pain or tightness,
,,,,,,,,,,,,,,,,,Lower RTI : What Is a Lower Respiratory Tract Infection?,"Lower RTI :Lower Respiratory Tract Infections (LRTI) are infections that affect the airways (below the level of the larynx), including the trachea and the alveolar sacs.",respiratory infection,,
,,,,,,,,,,,,,,,,,Lower RTI : Types of lower respiratory infections,"Lower RTI :Lower respiratory tract infections include:
bronchitis ,pneumonia ,bronchiolitis ,tuberculosis",respiratory infection,,
,,,,,,,,,,,,,,,,,Lower RTI : Causes of lower respiratory infections,"Lower RTI :The number one cause of lower respiratory tract infections are viruses that invade the respiratory tract. Bacteria are the next most common cause. 

In bronchitis, the most common viruses are influenza (the flu) and the rhinovirus (which causes the common cold). 
The most common cause of pneumonia varies by age, but it can be due to a virus or bacteria. 
The most common causes of bronchiolitis are rhinovirus, respiratory syncytial virus (RSV), and human metapneumovirus. 
More recently, SARS-CoV-2 (the virus that causes COVID-19) can cause lower respiratory tract infections and sometimes lead to pneumonia. ",respiratory infection,,
,,,,,,,,,,,,,,,,,Lower RTI : Symptoms of lower respiratory infections,"Common symptoms of all lower respiratory tract infections are cough, fever, and shortness of breath. Depending on the type of illness, your age, and other medical problems, these symptoms can range from mild to severe. 

The symptoms of bronchitis include cough, muscular chest pain, fatigue, and mild shortness of breath. A bronchitis cough can be dry or bring up mucus. The cough usually lasts 1-3 weeks and is the last symptom to go away. Bronchitis symptoms are often mild enough to be treated at home. But, in a person with a lung condition like asthma or COPD, it can lead to a severe illness needing hospitalization. Older age, having a weaker immune system, and smoking increase the chances of severe illness. 

The symptoms of pneumonia are fever, cough, shortness of breath, and chest pain. A viral pneumonia has a more dry cough (without mucus), and the symptoms tend to be mild to moderate. Bacterial pneumonia is more likely to cause more severe symptoms, such as fever and cough with mucus. Viral pneumonia tends to go away on its own, while bacterial pneumonia gets worse without antibiotic treatment. 

People 5 years and older can get a type of pneumonia called walking pneumonia, where symptoms are dry cough, muscle aches, and fatigue. The name walking pneumonia comes from the fact that most people have mild to moderate symptoms and are able to walk around. 

Bronchiolitis usually starts as a common cold in the first 2-3 days. Symptoms include nasal congestion, runny nose, cough, and, sometimes, a fever. On days 3-5, the illness will reach its peak severity. At this stage, a child may start breathing faster than normal, using their rib and neck muscles to breathe, and having trouble feeding and playing. If these symptoms happen, the child needs to be seen by a doctor immediately. ",respiratory infection,,
