Symptoms(common),Symptoms(babies/infants),Symptoms(old people),Symptoms(male),Symptoms(female),Symptoms(Critical_stage),Medication(babies/infants),Medication(old people),Medication(general),Treatment(general),Treatment(babies/infants),Treatment(old people),Treatment(critical_stage),Expenses,Facts_or_Myths,Survival_Rate,Funding,Prevention,Diagnosis,FAQ,FAQ Answers,condition
Fatigue,diarrhea,loss of taste,,,,,,Take rest and drink a lot of fluids to maintain adequate hydration.,,,,,,Drinking alcohol Cures COVID 19,,,Take rest and drink a lot of fluids to maintain adequate hydration.,An antibody test (also known as a serology test) can detect antibodies to SARS-CoV-2 in your blood.,How can I Protect Myself?,"Wear a Mask, Maintain Social Distance, Sanitize your hands",covid
Muscle or body aches,vomiting,decreasing of oxygen levels,,,,,,Follow respiratory etiquettes at all times.,,,,,,COVID 19 doesnt spread in a hot and humid climate,,,Get vaccinated when it’s your turn. Follow local guidance about vaccination.,,What are the symptoms and complications that COVID-19 can cause?,People with COVID-19 have reported a wide range of issues from mild symptoms to severe illness.,covid
Headache,nausea,,,,,,,Frequent hand washing with soap and water for at least 40 seconds or clean with alcohol-based sanitizer.,,,,,,Hot showers can protect from this Coronavirus,,,Cover your nose and mouth with your bent elbow or a tissue when you cough or sneeze.,,Can someone test negative and later test positive on a viral test for COVID-19?,"Yes, it is possible. A negative test does not rule out an infection.",covid
New loss of taste or smell,,,,,,,,,,,,,,,,,Stay home if you feel unwell.,,What is an N95 filtering facepiece respirator (FFR)?,"An N95 FFR is a type of respirator which removes particles from the air that are breathed through it. These respirators filter out at least 95% of very small (0.3 micron) particles. N95 FFRs are capable of filtering out all types of particles, including bacteria and viruses.",covid
Sore throat,,,,,,,,,,,,,,,,,,,Am I still considered “fully vaccinated” if I don’t get a booster?,"Yes, the definition of fully vaccinated has not changed and does not include a booster.",covid
Congestion or runny nose,,,,,,,,,,,,,,,,,,,,,covid
Nausea or vomiting,,,,,,,,,,,,,,,,,,,,,covid
Diarrhea,,,,,,,,,,,,,,,,,,,,,covid
fever,"Moderate Dehydration - Urinates less frequently (less than 6 wet diapers per day),Dry mouth, tongue, lips",,,Data are limited on health outcomes of dengue in pregnancy and effects of maternal infection on the developing fetus.,Stomach or belly pain,,,There is no specific medicine to treat dengue.,Rest as much as possible,,,Blood pressure monitoring,"Expenses from Private Not-for-profit hospital in rupees, median(IQR) values (dengue with warning sign - pediatrics) - 9371 (5871–20 792)",About one in four people infected with dengue will get sick.,mortality rate is less than 1% when detected early and with access to proper medical care.,,Wear long-sleeved shirts and long pants.,Dengue NS1 Antigen Test,Which type of doctor should one consult for dengue fever?,Consult a physician or an infectious disease doctor.,dengue
Nausea,"Severe Dehydration - Urinates 1-2 times per day, Cool, discolored hands or feet",,,"Perinatal transmission can occur during pregnancy, and peripartum maternal infection may increase the likelihood of symptomatic infection in the newborn.",Difficulty breathing,,,Take acetaminophen (also known as paracetamol outside of the United States) to control fever and relieve pain.,"Provide fluids such a water, juice, milk, or drinks with added electrolytes.",,,Intravenous (IV) fluid and electrolyte replacement,"Expenses from Private Not-for-profit hospital in rupees, median(IQR) values(dengue with warning sign - adults) - 18,555 (13,628–25,151)","For people who get sick with dengue, symptoms can be mild or severe","When treated, severe dengue has a mortality rate of 2%-5%",,Keep mosquitoes outside: Use screens on windows and doors.,Immunoglobulin M (IgM) ,Is dengue contagious from person to person?,"No, dengue is not contagious and cannot be spread merely by person to person contact. The dengue virus is carried and transmitted by mosquitoes. If a mosquito bites someone with dengue, and then bites another person, the second person can get infected. This is usually how dengue spreads and can sometimes become an epidemic.",dengue
vomiting,,,,,Vomiting (at least 3 times in 24 hours),,,"Do not take ibuprofen, aspirin, or aspirin-containing drugs.",Sponge the person’s skin with cool water to reduce fever,,,Transfusion to replace blood loss,"Expenses from Private Not-for-profit hospital in rupees, median(IQR) values(severe dengue - adults) - 46,538 (25,144–66,894)",Severe dengue can be life-threatening within a few hours and often requires care at a hospital," when left untreated, the mortality rate is as high as 20%.",,Use air conditioning if available.,Immunoglobulin G (IgG),Can I be infected with dengue a second or more times?,"Yes. Dengue is caused by four different viral strains and infection with one virus does not protect a person against infection from the other three strains. Hence one can be infected by dengue four times. Subsequent infections increase the risk for the most serious forms of dengue, such as dengue hemorrhagic fever and dengue shock syndrome.",dengue
severe headache,,,,,Bleeding from the nose or gums,,,Doctors can diagnose dengue infection with a blood test to check for the virus or antibodies to it.,Prevent dehydration,,,Supportive care in a hospital,"Expenses from Private Not-for-profit hospitalin rupees, median(IQR) values(severe dengue - pediatrics) - 60,305 (25,872–72,186)","An estimated 400 million dengue infections occur worldwide each year, with about 96 million resulting in illness",,,Use Environmental Protection Agency (EPA)-registered insect repellent.,Dengue RNA PCR test,What kinds of mosquito repellents are safe?,It is safe to use a repellent that has DEET (diethyltoluamide or diethylmethylbenzamide) or picaridin. One should however be careful when using it on children and infants. Please read the safety label of the manufacturer before usage.,dengue
Fatigue,,,,,Vomiting blood,,,,,,,,"Expenses from Private Not-for-profit hospital in rupees, median(IQR) values (dengue without warning sign - pediatrics) - 11,615 (5,524–27,682)",Most cases occur in tropical areas of the world,,,,, Is dengue a deadly disease? Can one die from dengue fever?,"Although dengue fever is a serious and often painful condition, it is not a deadly disease and does not lead to death. With proper care, most people infected with dengue usually make a full recovery unless complications occur. These complications may include Dengue Hemorrhagic Fever (DHF) and Dengue Shock Syndrome (DSS). In some of these cases death can occur but is rare. With proper care and treatment, even patients with DHF or DSS can make a full recovery. Hospitalization is highly recommended in cases of DHF or DSS and greatly increases the chances of survival.",dengue
,,,,,blood in the stool,,,,,,,,"Expenses from Private Not-for-profit hospital in rupees, median(IQR) values(dengue without warning sign - adults) - 20,204 (11,276–34,304)",,,,,,Can one treat dengue with antibiotics?,"No, since dengue is caused by a virus, antibiotics are not effective against it and should not be used.",dengue
,,,,,,,,,,,,,,,,,,,,,dengue
,,,,,,,,,,,,,,,,,,,,,dengue
,,,,,,,,,,,,,,,,,,,,,dengue
easy bruising,,,,,,,,,,,,,,,,,,,,,dengue
bleeding gums,,,,,,,,,,,,,,,,,,,,,dengue
Swollen glands,,,,,,,,,,,,,,,,,,,,,dengue
Rash which appears two to five days after the onset of fever,,,,,,,,,,,,,,,,,,,,,dengue
"Aches and pains (eye pain, typically behind the eyes, muscle, joint, or bone pain)",,,,,,,,,,,,,,,,,,,,,dengue
,,,,,,,,,,,,,,,,,,,,,dengue
,,,,,,,,,,,,,,,,,,,,,dengue
,,,,,,,,,,,,,,,,,,,,,dengue
,,,,,,,,,,,,,,,,,,,,,dengue
,,,,,,,,,,,,,,,,,,,,,dengue
Chest pain or discomfort,,,,,,,,,Medical Surgery,,,,"Per bed per day cost incurred by the hospital for admitted patients in Cardiac Care Unit, adult and pediatric cardiology ward was calculated to be Indian Rupee (INR) 28,144 (US$ 434), INR 22,210 (US$ 342) and INR 18,774 (US$ 289),","MYTH 1: If you have heart disease, you need to take it easy.",CVD death rate is 12%,Yeshasvini scheme,Eat plenty of fresh fruits and vegetables and fewer processed foods.,Physical exam and blood tests,What are the rules of thumb for a layman to take care of his heart?,"Diet - Less of carbohydrate, more of protein, less oil. Exercise - Half an hour's walk, at least five days a week; avoid lifts and avoid sitting for a longtime. Quit smoking. Control weight Control blood pressure and sugar.",heart diseases
extreme fatigue,,,,Dizziness,,,,,Medication depending on type of heart disease,,,,"Overall, per patient cost of managing any cardiovascular illness in hospital was computed to be INR 2,25,293 (US $ 3476) and cost after including administrative overheads was estimated to be INR 2,47,822 (US $ 3824)","MYTH 2: If you take a cholesterol-lowering drug, you can eat anything.",,Tamil Nadu State Illness Assistance Society with a revolving fund of Rs. 15 crores as an initial corpus fund,Avoid food containing saturated fat and trans fat.,Electrocardiogram,Are heart diseases hereditary?,yes,heart diseases
heartburn,,,,Pain in the upper abdomen or back,,,,,,,,,,MYTH 3: It's okay to have higher blood pressure when you're older.,,Rajiv Gandhi Arogya Yojana This is UP government's pilot project at Amethi for out patient care of cardiact problems.,Do not drink too much alcohol and try to avoid Cigarette Smoking ,Echocardiogram,It's still a grave shock to hear that an apparently healthy person underwent a cardiac arrest. How do we understand it in perspective?,This is called silent attack; that is why we recommend everyone past the age of 30 to undergo routine health checkups.,heart diseases
upper body discomfort,,,,Fatigue,,,,,,,,,,,,,Limiting salt (sodium) in your diet can also lower your blood pressure.,Stress test,Can people with low blood pressure suffer heart diseases?,Extremely rare,heart diseases
and shortness of breath.,,,,,,,,,,,,,,,,,Don't carry extra weight it can put extra stress on the heart and blood vessels.,Heart MRI,How do irregular eating habits affect the heart?,You tend to eat junk food when the habits are irregular and your body's enzyme release for digestion gets confused.,heart diseases
,,,,,,,,,,,,,,,,,"Do Physical activity  For adults 2 hours and 30 minutes of moderate-intensity exercise, like brisk walking or bicycling, every week is recommened. Children and adolescents should get 1 hour of physical activity every day.",CT scan,,,heart diseases
,,,,,,,,,,,,,,,,,If you have diabetes or Blood Pressure monitor your health carefully with regular CheckUPs,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
,,,,,,,,,,,,,,,,,,,,,heart diseases
